V1,V2,V3,V4,V5,MID,condition,Consent,InstARate,ABase,AChoice1,AChoice2,AChoice3,AChoice4,AChoice5,AChoice6,AChoice7,AChoice8,AChoice9,AChoice10,InstBRate,BChoice1,BChoice2,BChoice3,BChoice4,BChoice5,BChoice6,BChoice7,BChoice8,BChoice9,BChoice10,BBase,InstOC,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,NoOCInst,NoOC1,NoOC2,NoOC3,NoOC4,NoOC5,NoOC6,NoOC7,NoOC8,NoOC9,NoOC10,CNoOC,COC,InstCRate,CBase,CChoice1,CChoice2,CChoice3,CChoice4,CChoice5,CChoice6,CChoice7,CChoice8,CChoice9,CChoice10,DNoOC,DOC,InstDRate,DChoice1,DChoice2,DChoice3,DChoice4,DChoice5,DChoice6,DChoice7,DChoice8,DChoice9,DChoice10,DBase,Check_See_README,Check100,CheckVisa,CheckGift,CheckCard,CheckRight,AttCheck,AttChoose3,sex,age
R_3I5uQF13RGPblvn,Default Response Set,1/24/15 10:38,1/24/15 10:43,1,67,No OC,1,,,,,,,,,,,,,1,6,4,5,7,7,7,5,7,7,7,7,,,,,,,,,,,,1,2,2,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,5,4,5,7,7,7,4,7,6,7,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,34
R_1SpJHMLJBjjGCPj,Default Response Set,1/24/15 10:11,1/24/15 10:14,1,68,OC,1,1,7,7,7,7,7,7,7,1,7,7,7,,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,1,1,7,4,4,2,7,2,4,1,7,7,5,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,5,1,20
R_73vYBvkLKh6414F,Default Response Set,1/24/15 10:47,1/24/15 10:50,1,69,No OC,1,,,,,,,,,,,,,1,5,5,5,7,5,7,5,7,5,7,7,,,,,,,,,,,,1,1,2,2,1,2,1,1,1,2,1,1,,1,7,5,2,2,7,4,7,5,7,5,7,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,41
R_0DnD7tq0lUAaxHD,Default Response Set,1/24/15 12:05,1/24/15 12:10,1,70,OC,1,1,6,5,4,3,7,6,2,2,6,4,3,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,7,7,7,5,1,6,5,2,5,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,36
R_1LbKXyDhiYxJGa9,Default Response Set,1/24/15 10:14,1/24/15 10:18,1,71,No OC,1,,,,,,,,,,,,,1,7,3,4,7,6,7,3,7,2,5,7,,,,,,,,,,,,1,1,2,1,1,2,1,2,1,2,2,1,,1,5,7,2,6,7,3,7,1,7,2,2,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,59
R_6Sj7O5K1gPsHFpb,Default Response Set,1/24/15 10:05,1/24/15 10:10,1,72,No OC,1,1,7,5,7,4,7,7,5,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,1,3,7,4,7,5,4,1,4,2,1,6,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,36
R_6sC5gVL6N5KyK0t,Default Response Set,1/24/15 10:54,1/24/15 11:02,1,73,No OC,1,,,,,,,,,,,,,1,6,5,4,7,6,4,1,7,2,3,4,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,2,2,1,,1,5,6,5,4,7,5,6,1,7,3,2,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,TRUE,1,1,6,2,26
R_6JOpfxl6xLvk5Df,Default Response Set,1/24/15 10:19,1/24/15 10:21,1,74,No OC,1,,,,,,,,,,,,,1,5,4,5,7,4,5,4,5,5,4,4,,,,,,,,,,,,1,1,1,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,1,,1,4,5,4,5,5,4,5,5,4,4,5,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,49
R_eCWrVyiInDfwSzz,Default Response Set,1/24/15 10:57,1/24/15 11:00,1,75,OC,1,1,7,5,4,5,7,4,7,1,7,7,7,,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3,5,7,5,7,1,7,7,7,7,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,26
R_6qVcJb5S6dTcYPb,Default Response Set,1/24/15 10:07,1/24/15 10:11,1,76,OC,1,,,,,,,,,,,,,1,7,4,5,7,7,7,1,7,1,7,7,1,1,2,2,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,3,7,6,6,1,7,1,3,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,35
R_2uf6sJdLZUKybLD,Default Response Set,1/24/15 10:41,1/24/15 10:48,1,77,No OC,1,1,6,5,3,6,5,4,6,5,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,2,1,2,2,1,,1,4,5,2,4,3,2,6,2,6,2,3,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,44
R_7Okvi6pKOwP0pKd,Default Response Set,1/24/15 11:17,1/24/15 11:24,1,78,No OC,1,1,7,3,1,3,7,2,2,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,2,2,1,,1,7,1,1,1,7,1,1,1,7,1,1,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,56
R_em7pvKhd7cKUaGh,Default Response Set,1/24/15 11:23,1/24/15 11:28,1,79,OC,1,1,7,4,1,2,7,2,7,1,7,3,6,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,7,2,6,1,7,3,7,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,25
R_0kc2N6JdtMB5jp3,Default Response Set,1/24/15 11:49,1/24/15 11:53,1,80,No OC,1,1,7,7,7,6,7,7,7,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,2,2,1,1,,1,4,4,7,4,7,4,4,1,4,1,7,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,1,1,3,1,37
R_6o3JSOoy7nSZ7QV,Default Response Set,1/24/15 10:56,1/24/15 10:59,1,81,OC,1,,,,,,,,,,,,,1,7,4,2,7,7,6,2,7,5,7,7,1,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,1,1,7,7,2,4,7,6,7,2,7,5,6,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,7,2,26
R_006Ha92yvuWuky9,Default Response Set,1/24/15 10:34,1/24/15 10:40,1,82,No OC,1,1,7,7,7,7,7,3,7,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,2,2,,,,,,,,,,,,,,,1,,1,5,5,7,7,3,7,7,7,3,1,7,,TRUE,FALSE,TRUE,TRUE,1,1,3,2,29
R_1EWr8EJYZ84Cdbn,Default Response Set,1/24/15 11:29,1/24/15 11:33,1,83,No OC,1,,,,,,,,,,,,,1,1,7,1,7,1,6,2,7,4,1,7,,,,,,,,,,,,1,2,1,2,1,2,1,1,1,2,2,,,,,,,,,,,,,,,1,,1,1,7,1,7,1,6,5,7,4,1,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,56
R_5onkcwtBY8qj4Ut,Default Response Set,1/24/15 10:09,1/24/15 10:12,1,84,OC,1,1,5,2,5,4,6,3,5,3,4,5,3,,,,,,,,,,,,,1,1,1,1,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,6,4,2,6,4,5,3,5,3,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,26
R_2iAjb3aGFQc497f,Default Response Set,1/24/15 10:08,1/24/15 10:13,1,85,No OC,1,,,,,,,,,,,,,1,7,7,7,7,7,7,4,7,6,4,7,,,,,,,,,,,,1,1,2,2,1,1,1,2,1,1,2,,,,,,,,,,,,,,,1,,1,7,7,7,6,7,6,4,6,5,4,6,,TRUE,FALSE,FALSE,TRUE,1,1,3,2,52
R_8GukMbglZw0E0It,Default Response Set,1/24/15 10:52,1/24/15 10:56,1,86,OC,1,,,,,,,,,,,,,1,7,2,1,7,7,7,1,7,1,7,7,1,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,1,7,2,7,1,7,1,7,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,28
R_3WCfLKTWmF90k4d,Default Response Set,1/24/15 10:27,1/24/15 10:34,1,87,No OC,1,1,6,3,2,4,7,5,7,2,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,3,1,5,7,5,7,1,7,1,4,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,39
R_3vZ3kT99PQ0gV0x,Default Response Set,1/24/15 11:22,1/24/15 11:26,1,88,OC,1,,,,,,,,,,,,,1,7,4,1,7,7,6,3,7,3,2,7,1,2,2,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,3,2,7,7,2,2,6,3,2,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,31
R_3qRrH3XjyeKyEU5,Default Response Set,1/24/15 10:06,1/24/15 10:09,1,89,No OC,1,,,,,,,,,,,,,1,5,4,5,7,6,7,4,7,2,6,7,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,2,2,1,,1,7,6,6,5,7,6,7,4,7,2,4,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,3,1,45
R_08vIUyFRIcI4o5f,Default Response Set,1/24/15 10:29,1/24/15 10:52,1,90,No OC,1,1,7,5,7,1,7,5,4,1,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,1,2,1,,1,7,7,7,1,7,5,5,1,6,7,1,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,25
R_7V4dZ4QNLQvxGkt,Default Response Set,1/24/15 10:10,1/24/15 10:13,1,91,No OC,1,1,6,7,5,4,7,6,7,2,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,6,4,3,7,4,6,2,6,2,3,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,39
R_elY8wirxrntica9,Default Response Set,1/24/15 10:11,1/24/15 10:15,1,92,No OC,1,,,,,,,,,,,,,1,5,5,3,7,5,6,3,7,6,5,7,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,1,,1,6,4,3,7,4,3,2,7,5,3,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,31
R_3qpGeZYiV4obXmt,Default Response Set,1/24/15 10:31,1/24/15 10:35,1,93,OC,1,,,,,,,,,,,,,1,5,5,3,7,5,6,1,7,5,1,6,1,1,2,2,1,1,1,2,1,1,2,,,,,,,,,,,,,1,1,5,6,5,3,7,6,6,1,6,6,1,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,31
R_bpYeievMWGHAQnj,Default Response Set,1/24/15 10:40,1/24/15 10:42,1,94,No OC,1,1,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,1,,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,1,3,1,23
R_9sn0rly5b8Dg38p,Default Response Set,1/24/15 10:30,1/24/15 10:35,1,95,OC,1,,,,,,,,,,,,,1,2,5,4,7,6,7,1,7,3,5,7,1,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,1,1,6,2,1,2,6,5,6,1,7,4,5,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,5,1,22
R_6fBICdornmg4rqJ,Default Response Set,1/24/15 10:10,1/24/15 10:13,1,96,OC,1,1,7,7,7,6,7,5,7,4,7,3,4,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,7,7,7,5,7,4,6,3,7,3,4,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,31
R_71elIWFPz1pO34x,Default Response Set,1/24/15 11:26,1/24/15 11:29,1,97,No OC,1,1,7,7,4,2,7,7,7,1,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,,1,7,7,5,5,7,7,7,5,7,6,7,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,7,2,22
R_9BR3Af3W9JBE4XX,Default Response Set,1/24/15 10:22,1/24/15 10:27,1,98,OC,1,1,5,6,5,2,7,5,6,1,6,3,5,,,,,,,,,,,,,1,1,1,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,5,2,7,3,6,1,6,3,5,5,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,47
R_6Jdpff7OSg33B0p,Default Response Set,1/24/15 11:21,1/24/15 11:42,1,99,No OC,1,1,6,6,5,3,7,4,6,5,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,1,1,2,1,,1,6,5,3,2,5,3,4,2,7,6,3,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,29
R_0HcEH0z5MEfdsjP,Default Response Set,1/24/15 11:10,1/24/15 11:17,1,100,OC,1,,,,,,,,,,,,,1,7,4,7,7,4,5,1,7,6,7,7,1,2,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,7,5,3,7,7,4,7,1,7,6,5,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,7,2,33
R_a8XiNps4WvqhDNj,Default Response Set,1/24/15 10:07,1/24/15 10:10,1,101,OC,1,,,,,,,,,,,,,1,6,5,3,7,3,5,2,7,3,5,7,1,2,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,7,5,3,3,7,3,5,2,7,3,4,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,1,1,3,1,35
